"","efficiencies(result)"
"0",0.678747
"1",0.361622
"2",0.161755
"3",0.074486
"4",0.070083
"5",0.509785
"6",0.091892
"7",0.357873
"8",0.659196
"9",0.302313
"10",0.235626
"11",0.110672
"12",0.048926
"13",0.452106
"14",1
"15",0.232067
"16",0.267644
"17",1
"18",0.323122
"19",0.123011
"20",0.162343
"21",0.11951
"22",0.676736
"23",0.187602
"24",0.665168
"25",1
"26",0.449542
"27",0.020573
"28",0.128939
"29",0.334482
"30",0.535666
"31",0.199297
"32",0.222913
"33",0.409407
"34",0.502527
"35",0.970073
"36",0.69667
"37",0.082217
"38",0.309522
"39",0.207285
"40",0.164657
"41",0.071955
"42",0.471583
"43",0.140464
"44",0.397083
"45",0.297068
"46",0.562743
"47",0.227581
"48",0.266027
"49",0.280554
